lat,lon,type,title,link
54.4425914,18.4200619,church,Parafia rzymskokatolicka pw. św. Apostołów Szymona i Judy Tadeusza,https://www.google.com/maps/place/Parafia+rzymskokatolicka+pw.+%C5%9Bw.+Aposto%C5%82%C3%B3w+Szymona+i+Judy+Tadeusza/data=!4m7!3m6!1s0x46fda1e4e05435bd:0x4570b526bd0582ff!8m2!3d54.4425914!4d18.4200619!16s%2Fg%2F1224hdw_!19sChIJvTVU4OSh_UYR_4IFvSa1cEU?authuser=0&hl=en&rclk=1
54.468685,18.5075429,church,"Kościół Chrześcijański ""Słowo Wiary""",https://www.google.com/maps/place/Ko%C5%9Bci%C3%B3%C5%82+Chrze%C5%9Bcija%C5%84ski+%22S%C5%82owo+Wiary%22/data=!4m7!3m6!1s0x46fda0f772192465:0x3acaec00b7357d57!8m2!3d54.468685!4d18.5075429!16s%2Fg%2F11hzwc3wd2!19sChIJZSQZcveg_UYRV301twDsyjo?authuser=0&hl=en&rclk=1
54.4248657,18.4641133,church,Parafia Chrystusa Zbawiciela w Gdańsku,https://www.google.com/maps/place/Parafia+Chrystusa+Zbawiciela+w+Gda%C5%84sku/data=!4m7!3m6!1s0x46fd9f80c398215d:0xfa188c1981e40e97!8m2!3d54.4248657!4d18.4641133!16s%2Fg%2F121ffhsl!19sChIJXSGYw4Cf_UYRlw7kgRmMGPo?authuser=0&hl=en&rclk=1
54.4714993,18.4589018,church,Kościół pw. św. Trójcy,https://www.google.com/maps/place/Ko%C5%9Bci%C3%B3%C5%82+pw.+%C5%9Bw.+Tr%C3%B3jcy/data=!4m7!3m6!1s0x46fda1a0f558ab2d:0xdc908ef9998cc7f8!8m2!3d54.4714993!4d18.4589018!16s%2Fg%2F1tlc6rwm!19sChIJLatY9aCh_UYR-MeMmfmOkNw?authuser=0&hl=en&rclk=1
54.4716818,18.4583586,church,Holy Trinity Church,https://www.google.com/maps/place/Holy+Trinity+Church/data=!4m7!3m6!1s0x46fda1a05ff5fe19:0x26809b69c66a122e!8m2!3d54.4716818!4d18.4583586!16s%2Fg%2F1tcxnc72!19sChIJGf71X6Ch_UYRLhJqxmmbgCY?authuser=0&hl=en&rclk=1
54.4719286,18.4777409,church,Church. Immaculate Heart of Mary,https://www.google.com/maps/place/Church.+Immaculate+Heart+of+Mary/data=!4m7!3m6!1s0x46fda107055323d1:0x857e313c346ac9b6!8m2!3d54.4719286!4d18.4777409!16s%2Fg%2F11csrgzz4c!19sChIJ0SNTBQeh_UYRtslqNDwxfoU?authuser=0&hl=en&rclk=1
54.4441547,18.5711497,church,Salvator's Church,https://www.google.com/maps/place/Salvator's+Church/data=!4m7!3m6!1s0x46fd0a8d8c8fe7cb:0x99385dc2d75bd924!8m2!3d54.4441547!4d18.5711497!16s%2Fg%2F1xpwhgnt!19sChIJy-ePjI0K_UYRJNlb18JdOJk?authuser=0&hl=en&rclk=1
54.4669565,18.4812219,church,Roman Catholic Parish P.W. St. Charles Borromeo,https://www.google.com/maps/place/Roman+Catholic+Parish+P.W.+St.+Charles+Borromeo/data=!4m7!3m6!1s0x46fda1aa566de2d7:0xde51262ba60fe356!8m2!3d54.4669565!4d18.4812219!16s%2Fg%2F1219s9t1!19sChIJ1-JtVqqh_UYRVuMPpismUd4?authuser=0&hl=en&rclk=1
54.3799633,18.6180387,church,Baptyści II Gdańsk (Kościół),https://www.google.com/maps/place/Bapty%C5%9Bci+II+Gda%C5%84sk+(Ko%C5%9Bci%C3%B3%C5%82)/data=!4m7!3m6!1s0x46fd74bd61e1aacb:0x6a12e02e48119967!8m2!3d54.3799633!4d18.6180387!16s%2Fg%2F12hlbb2ld!19sChIJy6rhYb10_UYRZ5kRSC7gEmo?authuser=0&hl=en&rclk=1
54.4684339,18.4939003,church,Kościół pw. św.Wawrzyńca (1895),https://www.google.com/maps/place/Ko%C5%9Bci%C3%B3%C5%82+pw.+%C5%9Bw.Wawrzy%C5%84ca+(1895)/data=!4m7!3m6!1s0x46fda1adb0a86709:0x5f34ef618835211c!8m2!3d54.4684339!4d18.4939003!16s%2Fg%2F11b61jkb58!19sChIJCWeosK2h_UYRHCE1iGHvNF8?authuser=0&hl=en&rclk=1
